ID	Prodotto	Prezzo	Quantità
1	tazza	5	1
2	maglia	13	2
3	scarpe	53	13
4	calzini	21	3
5	chiodi	22	4
6	tazza	35,4	6,7
7	maglia	39,6	7,4
8	scarpe	43,8	8,1
9	calzini	48	8,8
10	chiodi	52,2	9,5
11	tazza	56,4	10,2
12	maglia	60,6	10,9
13	scarpe	64,8	11,6
14	calzini	69	12,3
15	chiodi	73,2	13
16	tazza	77,4	13,7
17	maglia	81,6	14,4
18	scarpe	85,8	15,1
19	calzini	90	15,8
20	chiodi	94,2	16,5
21	tazza	98,4	17,2
22	maglia	102,6	17,9
23	scarpe	106,8	18,6
24	calzini	111	19,3
25	chiodi	115,2	20
26	tazza	119,4	20,7
27	maglia	123,6	21,4
28	scarpe	127,8	22,1
29	calzini	132	22,8
30	chiodi	136,2	23,5
31	tazza	140,4	24,2
32	maglia	144,6	24,9
33	scarpe	148,8	25,6
34	calzini	153	26,3
35	chiodi	157,2	27
36	tazza	161,4	27,7
37	maglia	165,6	28,4
38	scarpe	169,8	29,1
39	calzini	174	29,8
40	chiodi	178,2	30,5
41	tazza	182,4	31,2
42	maglia	186,6	31,9
43	scarpe	190,8	32,6
44	calzini	195	33,3
45	chiodi	199,2	34
46	tazza	203,4	34,7
47	maglia	207,6	35,4
48	scarpe	211,8	36,1
49	calzini	216	36,8
50	chiodi	220,2	37,5
51	tazza	224,4	38,2
52	maglia	228,6	38,9
53	scarpe	232,8	39,6
54	calzini	237	40,3
55	chiodi	241,2	41
56	tazza	245,4	41,7
57	maglia	249,6	42,4
58	scarpe	253,8	43,1
59	calzini	258	43,8
60	chiodi	262,2	44,5
61	tazza	266,4	45,2
62	maglia	270,6	45,9
63	scarpe	274,8	46,6
64	calzini	279	47,3
65	chiodi	283,2	48
66	tazza	287,4	48,7
67	maglia	291,6	49,4
68	scarpe	295,8	50,1
69	calzini	300	50,8
70	chiodi	304,2	51,5
71	tazza	308,4	52,2
72	maglia	312,6	52,9
73	scarpe	316,8	53,6
74	calzini	321	54,3
75	chiodi	325,2	55
76	tazza	329,4	55,7
77	maglia	333,6	56,4
78	scarpe	337,8	57,1
79	calzini	342	57,8
80	chiodi	346,2	58,5
81	tazza	350,4	59,2
82	maglia	354,6	59,9
83	scarpe	358,8	60,6
84	calzini	363	61,3
85	chiodi	367,2	62
86	tazza	371,4	62,7
87	maglia	375,6	63,4
88	scarpe	379,8	64,1
89	calzini	384	64,8
90	chiodi	388,2	65,5
91	tazza	392,4	66,2
92	maglia	396,6	66,9
93	scarpe	400,8	67,6
94	calzini	405	68,3
95	chiodi	409,2	69
96	tazza	413,4	69,7
97	maglia	417,6	70,4
98	scarpe	421,8	71,1
99	calzini	426	71,8
100	chiodi	430,2	72,5
101	tazza	434,4	73,2
102	maglia	438,6	73,9
103	scarpe	442,8	74,6
104	calzini	447	75,3
105	chiodi	451,2	76
106	tazza	455,4	76,7
107	maglia	459,6	77,4
108	scarpe	463,8	78,1
109	calzini	468	78,8
110	chiodi	472,2	79,5
111	tazza	476,4	80,2
112	maglia	480,6	80,9
113	scarpe	484,8	81,6
114	calzini	489	82,3
115	chiodi	493,2	83
116	tazza	497,4	83,7
117	maglia	501,6	84,4
118	scarpe	505,8	85,1
119	calzini	510	85,8
120	chiodi	514,2	86,5
121	tazza	518,4	87,2
122	maglia	522,6	87,9
123	scarpe	526,8	88,6
124	calzini	531	89,3
125	chiodi	535,2	90
126	tazza	539,4	90,7
127	maglia	543,6	91,4
128	scarpe	547,8	92,1
129	calzini	552	92,8
130	chiodi	556,2	93,5
131	tazza	560,4	94,2
132	maglia	564,6	94,9
133	scarpe	568,8	95,6
134	calzini	573	96,3
135	chiodi	577,2	97
136	tazza	581,4	97,7
137	maglia	585,6	98,4
138	scarpe	589,8	99,1
139	calzini	594	99,8
140	chiodi	598,2	100,5
141	tazza	602,4	101,2
142	maglia	606,6	101,9
143	scarpe	610,8	102,6
144	calzini	615	103,3
145	chiodi	619,2	104
146	tazza	623,4	104,7
147	maglia	627,6	105,4
148	scarpe	631,8	106,1
149	calzini	636	106,8
150	chiodi	640,2	107,5
151	tazza	644,4	108,2
152	maglia	648,6	108,9
153	scarpe	652,8	109,6
154	calzini	657	110,3
155	chiodi	661,2	111
156	tazza	665,4	111,7
157	maglia	669,6	112,4
158	scarpe	673,8	113,1
159	calzini	678	113,8
160	chiodi	682,2	114,5
161	tazza	686,4	115,2
162	maglia	690,6	115,9
163	scarpe	694,8	116,6
164	calzini	699	117,3
165	chiodi	703,2	118
166	tazza	707,4	118,7
167	maglia	711,6	119,4
168	scarpe	715,8	120,1
169	calzini	720	120,8
170	chiodi	724,2	121,5
171	tazza	728,4	122,2
172	maglia	732,6	122,9
173	scarpe	736,8	123,6
174	calzini	741	124,3
175	chiodi	745,2	125
176	tazza	749,4	125,7
177	maglia	753,6	126,4
178	scarpe	757,8	127,1
179	calzini	762	127,8
180	chiodi	766,2	128,5
181	tazza	770,4	129,2
182	maglia	774,6	129,9
183	scarpe	778,8	130,6
184	calzini	783	131,3
185	chiodi	787,2	132
186	tazza	791,4	132,7
187	maglia	795,6	133,4
188	scarpe	799,8	134,1
189	calzini	804	134,8
190	chiodi	808,2	135,5
191	tazza	812,4	136,2
192	maglia	816,6	136,9
193	scarpe	820,8	137,6
194	calzini	825	138,3
195	chiodi	829,2	139
196	tazza	833,4	139,7
197	maglia	837,6	140,4
198	scarpe	841,8	141,1
199	calzini	846	141,8
200	chiodi	850,2	142,5
201	tazza	854,4	143,2
202	maglia	858,6	143,9
203	scarpe	862,8	144,6
204	calzini	867	145,3
205	chiodi	871,2	146
206	tazza	875,4	146,7
207	maglia	879,6	147,4
208	scarpe	883,8	148,1
209	calzini	888	148,8
210	chiodi	892,2	149,5
211	tazza	896,4	150,2
212	maglia	900,6	150,9
213	scarpe	904,8	151,6
214	calzini	909	152,3
215	chiodi	913,2	153
216	tazza	917,4	153,7
217	maglia	921,6	154,4
218	scarpe	925,8	155,1
219	calzini	930	155,8
220	chiodi	934,2	156,5
221	tazza	938,4	157,2
222	maglia	942,6	157,9
223	scarpe	946,8	158,6
224	calzini	951	159,3
225	chiodi	955,2	160
226	tazza	959,4	160,7
227	maglia	963,6	161,4
228	scarpe	967,8	162,1
229	calzini	972	162,8
230	chiodi	976,2	163,5
231	tazza	980,4	164,2
232	maglia	984,6	164,9
233	scarpe	988,8	165,6
234	calzini	993	166,3
235	chiodi	997,2	167
236	tazza	1001,4	167,7
237	maglia	1005,6	168,4
238	scarpe	1009,8	169,1
239	calzini	1014	169,8
240	chiodi	1018,2	170,5
241	tazza	1022,4	171,2
242	maglia	1026,6	171,9
243	scarpe	1030,8	172,6
244	calzini	1035	173,3
245	chiodi	1039,2	174
246	tazza	1043,4	174,7
247	maglia	1047,6	175,4
248	scarpe	1051,8	176,1
249	calzini	1056	176,8
250	chiodi	1060,2	177,5
251	tazza	1064,4	178,2
252	maglia	1068,6	178,9
253	scarpe	1072,8	179,6
254	calzini	1077	180,3
255	chiodi	1081,2	181
256	tazza	1085,4	181,7
257	maglia	1089,6	182,4
258	scarpe	1093,8	183,1
259	calzini	1098	183,8
260	chiodi	1102,2	184,5
261	tazza	1106,4	185,2
262	maglia	1110,6	185,9
263	scarpe	1114,8	186,6
264	calzini	1119	187,3
265	chiodi	1123,2	188
266	tazza	1127,4	188,7
267	maglia	1131,6	189,4
268	scarpe	1135,8	190,1
269	calzini	1140	190,8
270	chiodi	1144,2	191,5
271	tazza	1148,4	192,2
272	maglia	1152,6	192,9
273	scarpe	1156,8	193,6
274	calzini	1161	194,3
275	chiodi	1165,2	195
276	tazza	1169,4	195,7
277	maglia	1173,6	196,4
278	scarpe	1177,8	197,1
279	calzini	1182	197,8
280	chiodi	1186,2	198,5
281	tazza	1190,4	199,2
282	maglia	1194,6	199,9
283	scarpe	1198,8	200,6
284	calzini	1203	201,3
285	chiodi	1207,2	202
286	tazza	1211,4	202,7
287	maglia	1215,6	203,4
288	scarpe	1219,8	204,1
289	calzini	1224	204,8
290	chiodi	1228,2	205,5
291	tazza	1232,4	206,2
292	maglia	1236,6	206,9
293	scarpe	1240,8	207,6
294	calzini	1245	208,3
295	chiodi	1249,2	209
296	tazza	1253,4	209,7
297	maglia	1257,6	210,4
298	scarpe	1261,8	211,1
299	calzini	1266	211,8
300	chiodi	1270,2	212,5
301	tazza	1274,4	213,2
302	maglia	1278,6	213,9
303	scarpe	1282,8	214,6
304	calzini	1287	215,3
305	chiodi	1291,2	216
306	tazza	1295,4	216,7
307	maglia	1299,6	217,4
308	scarpe	1303,8	218,1
309	calzini	1308	218,8
310	chiodi	1312,2	219,5
311	tazza	1316,4	220,2
312	maglia	1320,6	220,9
313	scarpe	1324,8	221,6
314	calzini	1329	222,3
315	chiodi	1333,2	223
316	tazza	1337,4	223,7
317	maglia	1341,6	224,4
318	scarpe	1345,8	225,1
319	calzini	1350	225,8
320	chiodi	1354,2	226,5
321	tazza	1358,4	227,2
322	maglia	1362,6	227,9
323	scarpe	1366,8	228,6
324	calzini	1371	229,3
325	chiodi	1375,2	230
326	tazza	1379,4	230,7
327	maglia	1383,6	231,4
328	scarpe	1387,8	232,1
329	calzini	1392	232,8
330	chiodi	1396,2	233,5
331	tazza	1400,4	234,2
332	maglia	1404,6	234,9
333	scarpe	1408,8	235,6
334	calzini	1413	236,3
335	chiodi	1417,2	237
336	tazza	1421,4	237,7
337	maglia	1425,6	238,4
338	scarpe	1429,8	239,1
339	calzini	1434	239,8
340	chiodi	1438,2	240,5
341	tazza	1442,4	241,2
342	maglia	1446,6	241,9
343	scarpe	1450,8	242,6
344	calzini	1455	243,3
345	chiodi	1459,2	244
346	tazza	1463,4	244,7
347	maglia	1467,6	245,4
348	scarpe	1471,8	246,1
349	calzini	1476	246,8
350	chiodi	1480,2	247,5
351	tazza	1484,4	248,2
352	maglia	1488,6	248,9
353	scarpe	1492,8	249,6
354	calzini	1497	250,3
355	chiodi	1501,2	251
356	tazza	1505,4	251,7
357	maglia	1509,6	252,4
358	scarpe	1513,8	253,1
359	calzini	1518	253,8
360	chiodi	1522,2	254,5
361	tazza	1526,4	255,2
362	maglia	1530,6	255,9
363	scarpe	1534,8	256,6
364	calzini	1539	257,3
365	chiodi	1543,2	258
366	tazza	1547,4	258,7
367	maglia	1551,6	259,4
368	scarpe	1555,8	260,1
369	calzini	1560	260,8
370	chiodi	1564,2	261,5
371	tazza	1568,4	262,2
372	maglia	1572,6	262,9
373	scarpe	1576,8	263,6
374	calzini	1581	264,3
375	chiodi	1585,2	265
376	tazza	1589,4	265,7
377	maglia	1593,6	266,4
